"exp_id","embedding_model","chunk_size","chunk_overlap","k","retrieval_strategy","reranker","temperature","generator_model","judge_model","timestamp","total_questions","experiment_duration_s","total_cpu_time_s","total_energy_j","mean_latency_per_question_s","mean_cpu_time_per_question_s","mean_energy_per_question_j","grounding_passes","grounding_fails","relevance_passes","relevance_fails","mean_grounding_score","mean_relevance_score"
"exp0000","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","none","0.0","phi4:14b","qwen2.5:7b","2026-04-30T10:57:00.355131","40","1927.77","28.55","126384.7081","48.16","0.714","3159.6177","27","13","20","20","0.686","0.635"
"exp0001","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-04-30T11:29:08.144653","40","1560.2","13.51","101457.6953","38.99","0.338","2536.4424","28","12","20","20","0.66","0.58"
"exp0002","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","none","0.0","mistral:7b","qwen2.5:7b","2026-04-30T11:55:08.370643","40","1669.19","30.27","108537.8606","41.69","0.757","2713.4465","28","12","19","21","0.653","0.675"
"exp0003","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","none","0.0","gemma2:9b","qwen2.5:7b","2026-04-30T12:22:57.582041","40","1527.18","13.21","99303.0972","38.16","0.33","2482.5774","26","14","18","22","0.617","0.593"
"exp0004","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","none","0.0","llama3.2:3b","qwen2.5:7b","2026-04-30T12:48:24.785457","40","1428.26","26.06","92883.8704","35.68","0.651","2322.0968","30","10","19","21","0.66","0.613"
"exp0005","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-04-30T13:12:13.062183","40","1617.7","28.23","105215.4629","40.41","0.706","2630.3866","30","10","10","30","0.716","0.508"
"exp0006","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-04-30T13:39:10.789878","40","1806.7","22.49","117465.5906","45.12","0.562","2936.6398","29","11","23","17","0.667","0.672"
"exp0007","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","cross-encoder","0.0","qwen2.5:7b","qwen2.5:7b","2026-04-30T14:09:17.513389","40","1435.48","25.45","93366.3404","35.84","0.636","2334.1585","27","13","21","19","0.625","0.597"
"exp0008","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","cross-encoder","0.0","mistral:7b","qwen2.5:7b","2026-04-30T14:33:13.024158","40","1505.62","13.19","97903.8305","37.61","0.33","2447.5958","26","14","20","20","0.623","0.715"
"exp0009","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","cross-encoder","0.0","gemma2:9b","qwen2.5:7b","2026-04-30T14:58:18.669780","40","1388.43","27.42","90298.6794","34.66","0.685","2257.467","27","13","20","20","0.645","0.613"
"exp0010","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","cross-encoder","0.0","llama3.2:3b","qwen2.5:7b","2026-04-30T15:21:27.127935","40","1346.09","26.83","87560.4135","33.61","0.671","2189.0103","31","9","21","19","0.698","0.615"
"exp0011","sentence-transformers/all-MiniLM-L6-v2","500","100","3","dense","cross-encoder","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-04-30T15:43:53.243070","40","1493.51","39.51","97152.503","37.27","0.988","2428.8126","34","6","12","28","0.709","0.603"
"exp0012","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","none","0.0","phi4:14b","qwen2.5:7b","2026-04-30T16:08:46.776347","40","1968.18","8.12","127955.9219","49.19","0.203","3198.898","23","17","19","21","0.53","0.555"
"exp0013","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","none","0.0","qwen2.5:7b","qwen2.5:7b","2026-04-30T16:41:34.979595","40","1651.53","7.67","107395.3833","41.28","0.192","2684.8846","24","16","17","23","0.552","0.51"
"exp0014","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","none","0.0","mistral:7b","qwen2.5:7b","2026-05-01T00:07:21.556151","40","1013.55","11.06","","41.85","0.277","","26","14","15","25","0.614","0.575"
"exp0015","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","none","0.0","gemma2:9b","qwen2.5:7b","2026-05-01T00:24:15.146476","40","1580.71","7.51","","39.51","0.188","","26","14","14","26","0.585","0.52"
"exp0016","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","none","0.0","llama3.2:3b","qwen2.5:7b","2026-05-01T00:50:35.880476","40","1370.85","7.75","","34.26","0.194","","24","16","15","25","0.54","0.512"
"exp0017","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","none","0.0","qwen2.5:0.5b","qwen2.5:7b","2026-05-01T08:54:16.792349","40","483.38","1.73","","41.96","0.043","","28","12","12","28","0.603","0.547"
"exp0018","sentence-transformers/all-MiniLM-L6-v2","500","100","3","bm25","cross-encoder","0.0","phi4:14b","qwen2.5:7b","2026-05-01T09:02:20.210276","40","1768.71","15.54","","44.18","0.388","","20","20","19","21","0.483","0.547"
