"id","question","expected_answer","answer_type","difficulty","course_scope","evidence_fields","is_unanswerable","retrieved_docs","context","answer","grounding_score","grounding_verdict","grounding_reason","unsupported_claims","relevance_score","relevance_verdict","relevance_reason","missing_points"
"q001","Which course is taught by Morten Goodwin?","IKT469 Deep Neural Networks (Spring 2026).","factoid","easy","IKT469","course_leader, title","False","5","Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n ECTS Credits: 7.5 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Morten Goodwin \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: English \n Duration: ½ year \n  \n Course Title: IKT215 Pattern Recognition (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt215.html \n Section: Teaching And Learning Methods \n  \n The course is organized with a combination of lectures, assignments, paper studies, labs, and report writing. The tasks are done individually or in small groups with group supervision. The work load for the average student is approximately 270 hours. \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n ECTS Credits: 5.0 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Rebekka Olsson Omslandseter \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: English \n Duration: ½ year \n  \n Course Title: IKT462 Digital Health: Fundamentals (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt462.html \n ECTS Credits: 7.5 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Martin Wulf Gerdes \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: English \n Duration: ½ year \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Teaching And Learning Methods \n  \n The course is organized with a combination of lectures, assignments, paper studies, labs, and report writing. The tasks are done individually or in small groups with group supervision.  The workload for the average student is approximately 135 hours.","Morten Goodwin teaches IKT469 Deep Neural Networks (Spring 2026).","0.5","fail","The claim that Morten Goodwin teaches IKT469 Deep Neural Networks is not fully supported because the course leader is listed as 'Course Leaders' without specifying which one it is.","[""Course Leader: Morten Goodwin""]","0.5","fail","The answer provides some relevant information but lacks essential details to fully address the question.","[""More context about Morten Goodwin's role in the course (e.g., instructor, guest lecturer)""]"
"q002","How many ECTS credits is IKT469 Deep Neural Networks worth?","7.5 ECTS.","factoid","easy","IKT469","title, ects_credits","False","5","Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Reduction Of Credits \n  \n This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition: \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n ECTS Credits: 7.5 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Morten Goodwin \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: English \n Duration: ½ year \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Offered As A Free Standing Course \n  \n Yes, subject to availability. \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Admission Requirement If Given As A Free Standing Course \n  \n Admission requirements for the course are the same as for the master’s programme in ICT. \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Teaching And Learning Methods \n  \n Combination of lectures, assignments, paper studies, lab, and report writing. The tasks are done individually or in small groups with group supervision. The work load for the average student is approximately 200 hours.","IKT469 Deep Neural Networks is worth 7.5 ECTS credits.","1.0","pass","The answer is fully supported by the provided context, which explicitly states that IKT469 Deep Neural Networks is worth 7.5 ECTS credits.","[]","1.0","pass","The answer directly addresses the question and provides a clear number of ECTS credits.","[]"
"q003","What is the teaching language of IKT112 Concepts of Machine Learning?","English.","factoid","easy","IKT112","title, teaching_language","False","5","Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: The Course Is Connected To The Following Study Programs \n  \n Artificial Intelligence, 5-year master programme \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n ECTS Credits: 5.0 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Rebekka Olsson Omslandseter \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: English \n Duration: ½ year \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Learning Outcomes \n  \n Upon completion of this course, students will have: a basic understanding of the concepts of machine learning including supervised, unsupervised and reinforcement learning the ability to apply machine learning algorithms to data sets using a software package (e.g. WEKA) the ability to design experiments and to empirically evaluate and compare the performances of machine learning algorithms an appreciation of and familiarity with some current real-world applications of machine learning \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Offered As A Free Standing Course \n  \n Yes. Subject to availability or capacity. \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Teaching And Learning Methods \n  \n The course is organized with a combination of lectures, assignments, paper studies, labs, and report writing. The tasks are done individually or in small groups with group supervision.  The workload for the average student is approximately 135 hours.","The teaching language of IKT112 Concepts of Machine Learning is English.","1.0","pass","The teaching language is explicitly stated in the course description","[]","1.0","pass","The answer directly and clearly states the teaching language of IKT112 Concepts of Machine Learning as English.","[]"
"q004","Who is the course leader for IKT204 Data communication?","Sigurd Eskeland.","factoid","easy","IKT204","title, course_leader","False","5","Course Title: IKT204 Data communication (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt204.html \n Section: The Course Is Connected To The Following Study Programs \n  \n Computer Engineering, Bachelor's Programmme Electronics and Electrical Engineering, Bachelor's Programme Artificial Intelligence, 5-year master programme \n  \n Course Title: IKT204 Data communication (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt204.html \n Section: Recommended Previous Knowledge \n  \n Basic networking and security understanding such as IKT100-G Network, security, and privacy. \n  \n Course Title: IKT204 Data communication (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt204.html \n ECTS Credits: 7.5 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Sigurd Eskeland \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: Norwegian \n Duration: ½ year \n  \n Course Title: IKT204 Data communication (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt204.html \n Section: Offered As A Free Standing Course \n  \n Yes. Subject to availability or capacity. \n  \n Course Title: IKT204 Data communication (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt204.html \n Section: Learning Outcomes \n  \n Knowledge: - Have knowledge of the basic principles of data communication systems. - Know the network structures, network components and the most important protocols in an IP based data network Skills: - Understand the principles of how network components and protocols work together to enable data transport and online services. General competence: - Have the necessary foundation to work with problems and challenges in this field.","The course leaders for IKT204 Data communication are Sigurd Eskeland.","0.5","fail","The context states 'Course Leaders: Sigurd Eskeland' which implies there might be other course leaders, not just Sigurd Eskeland.","[""The course leaders for IKT204 Data communication are Sigurd Eskeland.""]","0.5","pass","The answer provides the name of the course leader, but it would be more informative to include additional details such as their affiliation or contact information.","[]"
"q005","In which semester is IKT443 WiFi and Internet of Things offered?","Spring.","factoid","easy","IKT443","title, lecture_semester","False","5","Course Title: IKT443 WiFi and Internet of Things (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt443.html \n Section: Offered As A Free Standing Course \n  \n Yes. Subject to availability or capacity. \n  \n Course Title: IKT443 WiFi and Internet of Things (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt443.html \n Section: Teaching And Learning Methods \n  \n Lectures, compulsory exercises and assignments, discrete-event simulations and self-study. The workload for the average student is approximately 200 hours. \n  \n Course Title: IKT443 WiFi and Internet of Things (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt443.html \n Section: Contents \n  \n The main goal of this course is to provide the students with knowledge of the fundamental principles as well as the state-of-the-art technologies within the topics of WiFi networks and various kinds of IoT networks \n  \n Course Title: IKT443 WiFi and Internet of Things (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt443.html \n Section: The Course Is Connected To The Following Study Programs \n  \n Artificial Intelligence and The Internet of Things, Master's Programme Artificial Intelligence, 5-year master programme \n  \n Course Title: IKT443 WiFi and Internet of Things (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt443.html \n Section: Examination Requirements \n  \n Compulsory assignments must be approved in order to take the examination. Information about compulsory assignments will be given in Canvas at the start of the course.","The answer can be found in the context. According to the context, IKT443 WiFi and Internet of Things (Spring 2026) is mentioned multiple times as the correct course title and semester. Therefore, the answer is: \n  \n Spring 2026","0.8","pass","The answer is supported by multiple mentions of the course title and semester in the context, but not explicitly stated as a specific semester.","[]","1.0","pass","The answer directly and clearly states the semester in which IKT443 WiFi and Internet of Things is offered, making it a complete and relevant response.","[]"
"q006","Is IKT115 Introduction to Artificial Intelligence Technology offered as a free-standing course?","No. It is available as a continuing education course (IKT902), but not as a free-standing course.","factoid","easy","IKT115","title, offered_as_a_free_standing_course","False","5","Course Title: IKT115 Introduction to Artificial Intelligence Technology (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt115.html \n Section: Offered As A Free Standing Course \n  \n No. Available as a continuing education course (IKT902) \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Offered As A Free Standing Course \n  \n Yes. Subject to availability or capacity. \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: The Course Is Connected To The Following Study Programs \n  \n Artificial Intelligence, 5-year master programme \n  \n Course Title: IKT115 Introduction to Artificial Intelligence Technology (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt115.html \n Section: Learning Outcomes \n  \n . Be able to reflect on the opportunities and challenges of using AI and assess them in light of ethical considerations, societal impact, and the UN's sustainable development goals. Have developed a simple AI application using user-friendly tools, without the need for programming skills. \n  \n Course Title: IKT459 Embedded Sensors, Signal Processing and Machine Learning for Autonomous Systems (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt459.html \n Section: Offered As A Free Standing Course \n  \n Yes, if there are places available","The information is not provided in the retrieved context.","0.0","fail","Invalid JSON from judge","[]","0.5","fail","Answer is too vague and doesn't directly address the question","[""More specific information needed""]"
"q007","What is the duration of IKT302 Bachelor's Thesis, data?","½ year.","factoid","easy","IKT302","title, duration","False","5","Course Title: IKT302 Bachelor's Thesis, data (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt302.html \n Section: Prerequisites \n  \n The student must have passed at least 130 ECTS credits in their study plan by the start of the semester in which the bachelor project is carried out. The topic and research question for the thesis must be approved by the course leader for the bachelor thesis. \n  \n Course Title: IKT302 Bachelor's Thesis, data (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt302.html \n Section: The Course Is Connected To The Following Study Programs \n  \n Computer Engineering, Bachelor's Programmme \n  \n Course Title: IKT302 Bachelor's Thesis, data (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt302.html \n Section: Reduction Of Credits \n  \n This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition: \n  \n Course Title: IKT302 Bachelor's Thesis, data (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt302.html \n Section: Examinations \n  \n Project report carried out in a group with an oral presentation of the report and possibly a product. Graded individual assessment. The assignment must be submitted within the stipulated time. It is not possible to submit an improved version of previous assignments for a new or postponed exam. \n  \n Course Title: IKT302 Bachelor's Thesis, data (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt302.html \n Section: Offered As A Free Standing Course \n  \n No","The information is not provided in the retrieved context.","0.0","fail","The duration of the course is not provided in the retrieved context.","[""duration of IKT302 Bachelor's Thesis, data""]","0.0","fail","Invalid JSON from judge","[]"
"q008","Which course is led by Andreas Prinz?","IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026).","factoid","easy","IKT122","course_leader, title","False","5","Course Title: IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt122.html \n ECTS Credits: 2.5 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Andreas Prinz \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: English \n Duration: ½ year \n  \n Course Title: IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt122.html \n Section: Offered As A Free Standing Course \n  \n Yes \n  \n Course Title: IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt122.html \n Section: The Course Is Connected To The Following Study Programs \n  \n Free-standing Courses \n  \n Course Title: IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt122.html \n Section: Admission Requirement If Given As A Free Standing Course \n  \n Higher Education Entrance Qualification \n  \n Course Title: IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt122.html \n Section: Contents \n  \n The course is based on theoretical knowledge in brain science, but the main part is about learning good habits that lead to success. It may help to know the theory, but this is not the main part. Having passed the course, the student should be more successful than before. The course has the following parts: 1) Mindset, 2) Be prepared, 3) Goals, 4) Planning, 5) Persistence","The course IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026) is led by Andreas Prinz.","1.0","pass","The course leader is explicitly stated in the context","[]","0.5","pass","Answer provides the required information, but it's a bit brief and lacks context.","[]"
"q009","What are the examination components for IKT112 Concepts of Machine Learning?","A 3-hour written exam worth 50% and a portfolio assessment worth 50%, with graded assessment.","descriptive","medium","IKT112","title, examinations","False","5","Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: The Course Is Connected To The Following Study Programs \n  \n Artificial Intelligence, 5-year master programme \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Learning Outcomes \n  \n Upon completion of this course, students will have: a basic understanding of the concepts of machine learning including supervised, unsupervised and reinforcement learning the ability to apply machine learning algorithms to data sets using a software package (e.g. WEKA) the ability to design experiments and to empirically evaluate and compare the performances of machine learning algorithms an appreciation of and familiarity with some current real-world applications of machine learning \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Examinations \n  \n 3 hours written exam (50%). Portfolio assessment (50%). Information about the content of the portfolio will be given in Canvas at the start of the semester for each seminar. Graded assessment. \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n Section: Student Evaluation \n  \n The person responsible for the course decides, in cooperation with student representative, the form of student evaluation and whether the course is to have a midway or end of course evaluation in accordance with the quality system for education, chapter 4.1. \n  \n Course Title: IKT112 Concepts of Machine Learning (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt112.html \n ECTS Credits: 5.0 \n Responsible Department: Faculty of Engineering and Science \n Course Leader: Rebekka Olsson Omslandseter \n Course Leaders:  \n Lecture Semester: Spring \n Teaching Language: English \n Duration: ½ year","The examination components for IKT112 Concepts of Machine Learning are: \n  \n 1. 3 hours written exam (50%) \n 2. Portfolio assessment (50%)","1.0","pass","The answer is fully supported by the context, as it directly quotes from the course description.","[]","0.5","pass","insufficient details","[]"
"q010","Summarize the main learning outcomes of IKT469 Deep Neural Networks.","Students should understand advanced deep learning concepts, transformer models, multimodal representation learning, generative models, explainability methods, advanced optimization, graph and sequence models, embeddings, retrieval-augmented systems, and be able to design, implement, evaluate, and critically assess advanced neural architectures.","summary","medium","IKT469","title, learning_outcomes","False","5","Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Learning Outcomes \n  \n . Diagnose model performance and select suitable architectures for various tasks. Critically assess deep learning systems regarding performance, transparency, and computational trade-offs. \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Learning Outcomes \n  \n . Know how embedding works and how augmented systems combine neural networks with external knowledge sources. Design, implement, and evaluate advanced neural architectures across different data types and modalities. Build multimodal and retrieval-augmented systems using embeddings and external knowledge. Apply explainability methods to analyze and interpret deep learning models. Diagnose model performance and select suitable architectures for various tasks \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Learning Outcomes \n  \n On successful completion of the course, the student should: Understand advanced concepts in deep learning, including why deep models generalize and how modern architectures are designed. Have knowledge of transformer models, multimodal representation learning, generative models, explainability methods, and advanced optimization strategies. Understand state-of-the-art architectures such as sequence models beyond attention and graph neural networks \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Contents \n  \n . Generative and explainable AI: latent-variable and generative models, and practical explainability methods for neural networks. Knowledge-enhanced and optimized systems: retrieval-augmented generation, external knowledge integration, and advanced optimization and training strategies. \n  \n Course Title: IKT469 Deep Neural Networks (Spring 2026) \n URL: https://www.uia.no/english/studies/courses/2026/spring/ikt469.html \n Section: Contents \n  \n The course covers theoretical and practical aspects of neural networks: Advanced deep learning foundations and architectures: modern theory of deep networks, transformer models, contemporary neural architectures, and next-generation sequence and graph-based models. Representation learning and multimodality: embedding-based methods, multimodal alignment, and self-/semi-supervised learning","The main learning outcomes of IKT469 Deep Neural Networks include: \n  \n 1. Diagnose model performance and select suitable architectures for various tasks. \n 2. Know how embedding works and how augmented systems combine neural networks with external knowledge sources. \n 3. Design, implement, and evaluate advanced neural architectures across different data types and modalities. \n 4. Build multimodal and retrieval-augmented systems using embeddings and external knowledge. \n 5. Apply explainability methods to analyze and interpret deep learning models. \n  \n Additionally, upon successful completion of the course, students should: \n  \n 1. Understand advanced concepts in deep learning, including why deep models generalize and how modern architectures are designed. \n 2. Have knowledge of transformer models, multimodal representation learning, generative models, explainability methods, and advanced optimization strategies. \n 3. Understand state-of-the-art architectures such as sequence models beyond attention and graph neural networks. \n  \n The course also covers theoretical and practical aspects of neural networks, including: \n  \n 1. Generative and explainable AI: latent-variable and generative models, and practical explainability methods for neural networks. \n 2. Knowledge-enhanced and optimized systems: retrieval-augmented generation, external knowledge integration, and advanced optimization and training strategies. \n  \n 3. Advanced deep learning foundations and architectures: modern theory of deep networks, transformer models, contemporary neural architectures, and next-generation sequence and graph-based models. \n 4. Representation learning and multimodality: embedding-based methods, multimodal alignment, and self-/semi-supervised learning","0.0","fail","These claims are not supported by the context. The context only lists learning outcomes for the course IKT469 Deep Neural Networks, but does not provide information on how to diagnose model performance or select architectures, know about embedding, design neural architectures, build multimodal systems, or apply explainability methods.","[""Diagnose model performance and select suitable architectures for various tasks."", ""Know how embedding works and how augmented systems combine neural networks with external knowledge sources."", ""Design, implement, and evaluate advanced neural architectures across different data types and modalities."", ""Build multimodal and retrieval-augmented systems using embeddings and external knowledge.""]","0.8","pass","The answer provides a clear summary of the main learning outcomes and additional knowledge covered in the course, but could benefit from more specific details and examples to fully demonstrate its understanding.","[]"
